NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	23	21		
GO_POSITIVE_REGULATION_OF_CILIUM_ASSEMBLY	24	21		
GO_POSITIVE_REGULATION_OF_TRANSLATION	136	129		
GO_RESPIRATORY_BURST	37	31		
GO_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	224	217		
GO_NEGATIVE_REGULATION_OF_DNA_REPAIR	36	28		
GO_POSITIVE_REGULATION_OF_DNA_REPAIR	71	64		
GO_POSITIVE_REGULATION_OF_DNA_REPLICATION	40	39		
GO_POSITIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	13		Rejected!	
GO_POSITIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	8		Rejected!	
GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	53	50		
GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	28	27		
GO_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	40	37		
GO_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	57	50		
GO_NEGATIVE_REGULATION_OF_ACTION_POTENTIAL	13		Rejected!	
GO_POSITIVE_REGULATION_OF_ACTION_POTENTIAL	12		Rejected!	
GO_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	32	30		
GO_POSITIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	9		Rejected!	
GO_POSITIVE_REGULATION_OF_AXON_EXTENSION	43	43		
GO_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	47	46		
GO_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	38	35		
GO_POSITIVE_REGULATION_OF_OSSIFICATION	93	86		
GO_POSITIVE_REGULATION_OF_BONE_RESORPTION	19	19		
GO_POSITIVE_REGULATION_OF_CELL_ADHESION	428	409		
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE	637		Rejected!	
GO_POSITIVE_REGULATION_OF_CELL_CYCLE	396	370		
GO_NEGATIVE_REGULATION_OF_CELL_SIZE	10		Rejected!	
GO_POSITIVE_REGULATION_OF_CELL_SIZE	10		Rejected!	
GO_NEGATIVE_REGULATION_OF_CELL_VOLUME	5		Rejected!	
GO_POSITIVE_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	14		Rejected!	
GO_NEGATIVE_REGULATION_OF_ENDOCYTOSIS	50	43		
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	100	99		
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	126	54		
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	59	48		
GO_NEGATIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	15	15		
GO_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	24	23		
GO_NEGATIVE_REGULATION_OF_HEART_CONTRACTION	29	22		
GO_POSITIVE_REGULATION_OF_HEART_CONTRACTION	43	38		
GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	62	52		
GO_NEGATIVE_REGULATION_OF_ISOTYPE_SWITCHING	5		Rejected!	
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING	28	24		
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	98	85		
GO_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	153	146		
GO_NEGATIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	11		Rejected!	
GO_POSITIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	14		Rejected!	
GO_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL	15		Rejected!	
GO_POSITIVE_REGULATION_OF_MEMBRANE_POTENTIAL	16	15		
GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	57	56		
GO_PH_REDUCTION	58	58		
GO_PH_ELEVATION	7		Rejected!	
GO_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	805		Rejected!	
GO_POSITIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	539		Rejected!	
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	366	340		
GO_POSITIVE_REGULATION_OF_PROTEOLYSIS	369	347		
GO_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE	16		Rejected!	
GO_NEGATIVE_REGULATION_OF_SISTER_CHROMATID_COHESION	5		Rejected!	
GO_POSITIVE_REGULATION_OF_SISTER_CHROMATID_COHESION	10		Rejected!	
GO_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	33	32		
GO_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	38	35		
GO_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY	14		Rejected!	
GO_POSITIVE_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY	11		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSLATIONAL_ELONGATION	5		Rejected!	
GO_POSITIVE_REGULATION_OF_TRANSLATIONAL_ELONGATION	5		Rejected!	
GO_NEGATIVE_REGULATION_OF_VASOCONSTRICTION	7		Rejected!	
GO_POSITIVE_REGULATION_OF_VASOCONSTRICTION	34	33		
GO_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION	44	28		
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	45	40		
GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	51	47		
GO_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	84	79		
GO_POSITIVE_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS	6		Rejected!	
GO_NEGATIVE_REGULATION_OF_COMPLEMENT_ACTIVATION	9		Rejected!	
GO_POSITIVE_REGULATION_OF_COMPLEMENT_ACTIVATION	6		Rejected!	
GO_NEGATIVE_REGULATION_OF_EXOCYTOSIS	33	30		
GO_POSITIVE_REGULATION_OF_EXOCYTOSIS	91	89		
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	35	27		
GO_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	38	36		
GO_NEGATIVE_REGULATION_OF_GROWTH	254	241		
GO_POSITIVE_REGULATION_OF_GROWTH	274	251		
GO_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	341	305		
GO_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	168	153		
GO_NEGATIVE_REGULATION_OF_MUSCLE_CONTRACTION	28	22		
GO_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION	47	43		
GO_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1567		Rejected!	
GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1861		Rejected!	
GO_POSITIVE_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP	6		Rejected!	
GO_NEGATIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	30	24		
GO_POSITIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	31	29		
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	21	20		
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1198		Rejected!	
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	11		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	19	18		
GO_POSITIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	31	30		
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	24	19		
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	9		Rejected!	
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	19	18		
GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	22	22		
GO_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	49	44		
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	17		Rejected!	
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	31	30		
GO_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION	10		Rejected!	
GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION	16		Rejected!	
GO_CARBON_CATABOLITE_REGULATION_OF_TRANSCRIPTION	5		Rejected!	
GO_NEGATIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	25	25		
GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT	134	124		
GO_NEGATIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	14		Rejected!	
GO_REGULATION_OF_TRANSCRIPTION_BY_GLUCOSE	5		Rejected!	
GO_AMP_METABOLIC_PROCESS	15		Rejected!	
GO_ATP_METABOLIC_PROCESS	311	266		
GO_GMP_METABOLIC_PROCESS	14		Rejected!	
GO_GTP_METABOLIC_PROCESS	25	22		
GO_IMP_METABOLIC_PROCESS	13		Rejected!	
GO_UTP_METABOLIC_PROCESS	11		Rejected!	
GO_CAMP_METABOLIC_PROCESS	22	22		
GO_DATP_METABOLIC_PROCESS	5		Rejected!	
GO_CGMP_METABOLIC_PROCESS	17	15		
GO_CGMP_CATABOLIC_PROCESS	5		Rejected!	
GO_DUMP_METABOLIC_PROCESS	5		Rejected!	
GO_ADENOSINE_METABOLIC_PROCESS	9		Rejected!	
GO_NUCLEOBASE_BIOSYNTHETIC_PROCESS	18	18		
GO_NUCLEOBASE_CATABOLIC_PROCESS	6		Rejected!	
GO_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	5		Rejected!	
GO_PYRIMIDINE_RIBONUCLEOSIDE_METABOLIC_PROCESS	14		Rejected!	
GO_PYRIMIDINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS	16	15		
GO_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	23	23		
GO_POSITIVE_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	5		Rejected!	
GO_NEGATIVE_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	6		Rejected!	
GO_TETRAHYDROBIOPTERIN_METABOLIC_PROCESS	8		Rejected!	
GO_PIGMENT_BIOSYNTHETIC_PROCESS	57	56		
GO_PIGMENT_CATABOLIC_PROCESS	7		Rejected!	
GO_ALCOHOL_CATABOLIC_PROCESS	55	53		
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	164	155		
GO_POLYOL_BIOSYNTHETIC_PROCESS	64	62		
GO_POLYOL_CATABOLIC_PROCESS	26	25		
GO_ALDEHYDE_BIOSYNTHETIC_PROCESS	15	15		
GO_ALDEHYDE_CATABOLIC_PROCESS	12		Rejected!	
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	45	44		
GO_REGULATION_OF_FATTY_ACID_OXIDATION	32	31		
GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION	14		Rejected!	
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION	12		Rejected!	
GO_GLUCOSE_IMPORT	75	66		
GO_REGULATION_OF_GLUCOSE_IMPORT	61	53		
GO_NEGATIVE_REGULATION_OF_GLUCOSE_IMPORT	16		Rejected!	
GO_NEGATIVE_REGULATION_OF_JNK_CASCADE	39	36		
GO_POSITIVE_REGULATION_OF_JNK_CASCADE	138	133		
GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	30	24		
GO_DIACYLGLYCEROL_METABOLIC_PROCESS	25	25		
GO_CDP_DIACYLGLYCEROL_METABOLIC_PROCESS	14		Rejected!	
GO_AMINO_SUGAR_CATABOLIC_PROCESS	13		Rejected!	
GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	13		Rejected!	
GO_DISACCHARIDE_BIOSYNTHETIC_PROCESS	5		Rejected!	
GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	100	94		
GO_MONOSACCHARIDE_CATABOLIC_PROCESS	66	65		
GO_DEOXYRIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	13		Rejected!	
GO_DEOXYRIBOSE_PHOSPHATE_CATABOLIC_PROCESS	21	20		
GO_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	194	163		
GO_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	6		Rejected!	
GO_URATE_METABOLIC_PROCESS	13		Rejected!	
GO_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	27	19		
GO_ORGANOPHOSPHATE_CATABOLIC_PROCESS	144	139		
GO_ICOSANOID_BIOSYNTHETIC_PROCESS	59	53		
GO_PROSTANOID_BIOSYNTHETIC_PROCESS	30	27		
GO_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS	17	16		
GO_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS	51	45		
GO_NEUTRAL_LIPID_CATABOLIC_PROCESS	48	48		
GO_MONOACYLGLYCEROL_METABOLIC_PROCESS	14		Rejected!	
GO_MEMBRANE_LIPID_CATABOLIC_PROCESS	38	37		
GO_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	147	139		
GO_PLATELET_ACTIVATING_FACTOR_METABOLIC_PROCESS	8		Rejected!	
GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	88	82		
GO_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS	35	34		
GO_PHOSPHATIDIC_ACID_METABOLIC_PROCESS	51	50		
GO_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS	32	31		
GO_GLYCOSYLCERAMIDE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GO_GLYCOSYLCERAMIDE_CATABOLIC_PROCESS	8		Rejected!	
GO_GLYCEROLIPID_METABOLIC_PROCESS	434	407		
GO_GLYOXYLATE_METABOLIC_PROCESS	10		Rejected!	
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	185	175		
GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS	16	16		
GO_PROTOPORPHYRINOGEN_IX_METABOLIC_PROCESS	11		Rejected!	
GO_GLYCEROLIPID_CATABOLIC_PROCESS	74	73		
GO_SPHINGOSINE_BIOSYNTHETIC_PROCESS	14		Rejected!	
GO_CERAMIDE_BIOSYNTHETIC_PROCESS	67	64		
GO_CERAMIDE_CATABOLIC_PROCESS	21	21		
GO_SPHINGOID_METABOLIC_PROCESS	21	21		
GO_PHOTORECEPTOR_CELL_DIFFERENTIATION	63	60		
GO_REGULATION_OF_PHOTORECEPTOR_CELL_DIFFERENTIATION	9		Rejected!	
GO_SALIVA_SECRETION	12		Rejected!	
GO_DEVELOPMENT_OF_SECONDARY_FEMALE_SEXUAL_CHARACTERISTICS	6		Rejected!	
GO_DEVELOPMENT_OF_PRIMARY_FEMALE_SEXUAL_CHARACTERISTICS	105	105		
GO_RETINAL_ROD_CELL_DEVELOPMENT	10		Rejected!	
GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	194	188		
GO_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	38	36		
GO_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	18	18		
GO_REGULATION_OF_CENTRIOLE_REPLICATION	23	23		
GO_NEGATIVE_REGULATION_OF_CENTRIOLE_REPLICATION	9		Rejected!	
GO_POSITIVE_REGULATION_OF_CENTRIOLE_REPLICATION	6		Rejected!	
GO_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	9		Rejected!	
GO_REGULATION_OF_CENTROSOME_CYCLE	59	59		
GO_NEGATIVE_REGULATION_OF_CENTROSOME_CYCLE	15	15		
GO_POSITIVE_REGULATION_OF_CENTROSOME_CYCLE	11		Rejected!	
GO_REGULATION_OF_ORGAN_GROWTH	116	96		
GO_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	42	34		
GO_POSITIVE_REGULATION_OF_ORGAN_GROWTH	63	49		
GO_GAMMA_DELTA_T_CELL_ACTIVATION	19	18		
GO_ALPHA_BETA_T_CELL_ACTIVATION	146	141		
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	106	104		
GO_ALPHA_BETA_T_CELL_PROLIFERATION	36	33		
GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	97	93		
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	63	60		
GO_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	40	39		
GO_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	64	63		
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	47	46		
GO_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	25	25		
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	21	19		
GO_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	11		Rejected!	
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION	11		Rejected!	
GO_POSITIVE_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION	9		Rejected!	
GO_LYMPHOCYTE_ACTIVATION	758		Rejected!	
GO_TETRAHYDROFOLATE_METABOLIC_PROCESS	19	17		
GO_TETRAHYDROFOLATE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GO_FOLIC_ACID_METABOLIC_PROCESS	20	18		
GO_FEMALE_SEX_DIFFERENTIATION	119	119		
GO_MALE_SEX_DIFFERENTIATION	164	158		
GO_RETINAL_CELL_PROGRAMMED_CELL_DEATH	5		Rejected!	
GO_RESPONSE_TO_ANTIBIOTIC	47	47		
GO_RESPONSE_TO_ORGANOPHOSPHORUS	134	131		
GO_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	34	34		
GO_RESPONSE_TO_CADMIUM_ION	64	62		
GO_RESPONSE_TO_COPPER_ION	43	38		
GO_RESPONSE_TO_MERCURY_ION	12		Rejected!	
GO_DECIDUALIZATION	25	25		
GO_GDP_METABOLIC_PROCESS	10		Rejected!	
GO_MUSCLE_CELL_CELLULAR_HOMEOSTASIS	21	19		
GO_ACID_SECRETION	43	42		
GO_REGULATION_BY_VIRUS_OF_VIRAL_PROTEIN_LEVELS_IN_HOST_CELL	7		Rejected!	
GO_VIRAL_BUDDING	26	25		
GO_PROTEIN_AUTOPHOSPHORYLATION	237	234		
GO_REGULATION_OF_VIRAL_TRANSCRIPTION	65	64		
GO_MICROTUBULE_POLYMERIZATION	77	74		
GO_RECEPTOR_MEDIATED_VIRION_ATTACHMENT_TO_HOST_CELL	5		Rejected!	
GO_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	112	112		
GO_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	21	21		
GO_POSITIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	66	66		
GO_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	41	41		
GO_NEGATIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	6		Rejected!	
GO_POSITIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	21	21		
GO_REGULATION_OF_RNA_EXPORT_FROM_NUCLEUS	16	16		
GO_LIPID_PHOSPHORYLATION	72	69		
GO_CARBOHYDRATE_PHOSPHORYLATION	24	23		
GO_GLYCOLIPID_TRANSPORT	7		Rejected!	
GO_PHOSPHORYLATED_CARBOHYDRATE_DEPHOSPHORYLATION	17	16		
GO_PHOSPHOLIPID_DEPHOSPHORYLATION	45	43		
GO_FILOPODIUM_ASSEMBLY	61	59		
GO_BONE_REMODELING	91	90		
GO_REGULATION_OF_BONE_REMODELING	50	49		
GO_NEGATIVE_REGULATION_OF_BONE_REMODELING	17	17		
GO_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION	57	54		
GO_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	31	29		
GO_QUINOLINATE_METABOLIC_PROCESS	5		Rejected!	
GO_REGULATION_OF_SALIVA_SECRETION	7		Rejected!	
GO_REGULATION_OF_HORMONE_SECRETION	267	257		
GO_FOLLICLE_STIMULATING_HORMONE_SECRETION	7		Rejected!	
GO_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	18	18		
GO_POSITIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GO_POSITIVE_REGULATION_OF_HORMONE_SECRETION	131	125		
GO_NEGATIVE_REGULATION_OF_HORMONE_SECRETION	61	58		
GO_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	88	82		
GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	207	193		
GO_SECRETION	1618		Rejected!	
GO_INTRACELLULAR_TRANSPORT	1758		Rejected!	
GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	116	109		
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	12		Rejected!	
GO_PORE_COMPLEX_ASSEMBLY	20	19		
GO_NUCLEOTIDE_PHOSPHORYLATION	135	130		
GO_NUCLEOSIDE_MONOPHOSPHATE_PHOSPHORYLATION	14		Rejected!	
GO_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS	32	31		
GO_KETONE_BODY_BIOSYNTHETIC_PROCESS	9		Rejected!	
GO_NONASSOCIATIVE_LEARNING	6		Rejected!	
GO_REGULATION_OF_RESPONSE_TO_OSMOTIC_STRESS	14		Rejected!	
GO_VESICLE_TRANSPORT_ALONG_MICROTUBULE	49	47		
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	194	169		
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	7		Rejected!	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	5		Rejected!	
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	59	56		
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	38	33		
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	98	90		
GO_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	33	33		
GO_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	16	16		
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	87	87		
GO_INOSITOL_PHOSPHATE_MEDIATED_SIGNALING	57	56		
GO_INOSITOL_LIPID_MEDIATED_SIGNALING	196	187		
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	113	110		
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	22	22		
GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	23	21		
GO_FOCAL_ADHESION_ASSEMBLY	83	83		
GO_EMBRYONIC_EYE_MORPHOGENESIS	37	37		
GO_POST_EMBRYONIC_EYE_MORPHOGENESIS	6		Rejected!	
GO_DEVELOPMENTAL_PIGMENTATION	46	45		
GO_EYE_PIGMENTATION	7		Rejected!	
GO_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	15	15		
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	9		Rejected!	
GO_CHROMATIN_MEDIATED_MAINTENANCE_OF_TRANSCRIPTION	13		Rejected!	
GO_AUTOPHAGIC_CELL_DEATH	11		Rejected!	
GO_SOMATIC_STEM_CELL_DIVISION	11		Rejected!	
GO_ASTROCYTE_ACTIVATION	27	23		
GO_FIBROBLAST_PROLIFERATION	84	81		
GO_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION	51	49		
GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION	30	29		
GO_BEHAVIORAL_RESPONSE_TO_COCAINE	12		Rejected!	
GO_BEHAVIORAL_RESPONSE_TO_ETHANOL	9		Rejected!	
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	191	189		
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	53	52		
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	25	25		
GO_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	5		Rejected!	
GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY	16	16		
GO_GOLGI_VESICLE_TRANSPORT	374	356		
GO_GOLGI_VESICLE_BUDDING	81	79		
GO_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI	74	73		
GO_REGULATION_OF_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI	5		Rejected!	
GO_PLASMA_MEMBRANE_TO_ENDOSOME_TRANSPORT	8		Rejected!	
GO_MALE_GAMETE_GENERATION	574		Rejected!	
GO_SPERM_CAPACITATION	29	27		
GO_EPINEPHRINE_TRANSPORT	9		Rejected!	
GO_NOREPINEPHRINE_SECRETION	17	17		
GO_EOSINOPHIL_CHEMOTAXIS	18	17		
GO_MACROPHAGE_CHEMOTAXIS	42	40		
GO_LYMPHOCYTE_CHEMOTAXIS	64	59		
GO_ELASTIC_FIBER_ASSEMBLY	10		Rejected!	
GO_SNORNA_LOCALIZATION	5		Rejected!	
GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	105	99		
GO_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	52	51		
GO_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	29	24		
GO_DETERMINATION_OF_DORSAL_VENTRAL_ASYMMETRY	10		Rejected!	
GO_RESPONSE_TO_PAIN	30	30		
GO_BEHAVIORAL_RESPONSE_TO_PAIN	13		Rejected!	
GO_CLATHRIN_COAT_ASSEMBLY	18	17		
GO_VESICLE_DOCKING	65	65		
GO_VESICLE_FUSION_WITH_GOLGI_APPARATUS	8		Rejected!	
GO_ORGANELLE_FUSION	140	129		
GO_ORGANELLE_FISSION	467	433		
GO_LUNG_ALVEOLUS_DEVELOPMENT	41	40		
GO_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	7		Rejected!	
GO_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	14		Rejected!	
GO_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGE_ISOTYPES	7		Rejected!	
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	5		Rejected!	
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	10		Rejected!	
GO_IMMUNOGLOBULIN_SECRETION	21	20		
GO_ORGANELLE_INHERITANCE	15	15		
